artist,music_type
The Traveling Wilburys,Type B
Frank Sinatra & Count Basie,Type B
The Killers,Type B
Camille Saint-Saëns,Type B
Midtown Dickens,Type B
Kettel,Type B
Quindon Tarver,Type B
The Unicorns,Type B
Cat Stevens,Type B
Ugly Duckling,Type B
The Cyrkle,Type B
No Doubt,Type B
Wham!,Type B
L'Ensemble Rayé,Type B
Kanye West,Type B
Scott Fitzgerald & Yvonne Keeley,Type B
Thousand Foot Krutch,Type B
Nomy,Type B
Jay-Z and Linkin Park,Type B
The Fiery Furnaces,Type B
Kakkmaddafakka,Type B
Barry Louis Polisar,Type B
Jukebox the Ghost,Type B
Why?,Type B
"if you can't bring any beauty into the world, the next best thing is to show everybody how ugly everything is.",Type B
Король и Шут,Type B
Fountains of Wayne,Type B
Belle and Sebastian,Type B
Klima,Type B
Goldfrapp,Type B
Saturday Looks Good To Me,Type B
Adriano Celentano,Type B
Buckcherry,Type B
Hard-Fi,Type B
The Raveonettes,Type B
Jack Peñate,Type B
Tigers Jaw,Type B
Valencia,Type B
Gomez,Type B
Same Difference,Type B
Mark O'Connor,Type B
The Servant,Type B
Farin Urlaub Racing Team,Type B
MONKEY MAJIK,Type B
La Pegatina,Type B
Biz Markie,Type B
Annett Louisan,Type B
MxPx,Type B
Sara Bareilles,Type B
Electric Six,Type B
The Cure,Type B
Avicii,Type B
Rudimental,Type B
Louiv,Type B
Ashanti,Type B
Jack Jones,Type B
Boa,Type B
嵐,Type B
Les Wriggles,Type B
Spoon,Type B
VIXX,Type B
Агата Кристи,Type B
Kuunkuiskaajat,Type B
Paul Simon,Type B
Felix Jaehn,Type B
Alex Adair,Type B
Mediæval Bæbes,Type B
Wafande,Type B
The Little Ones,Type B
misono,Type B
Sub Focus,Type B
Barry White,Type B
Nina Simone,Type B
Locksley,Type B
3 Mice,Type B
Swan Lee,Type B
Third Eye Blind,Type B
Shugo Tokumaru,Type B
Sia,Type B
Nerf Herder,Type B
Imagine Dragons,Type B
Kate Nash,Type B
Racquel,Type B
Dean Martin,Type B
Ethel Merman,Type B
Washed Out,Type B
Big & Rich,Type B
Burl Ives,Type B
Phish,Type B
Christina Aguilera,Type B
Cibelle,Type B
Buddy Holly & The Crickets,Type B
Love Is All,Type B
We Are Wolves,Type B
Erik Sumo,Type B
Joe Meek & The Blue Men,Type B
Mock Orange,Type B
Helen Love,Type B
Clive Dunn,Type B
David Bowie,Type B
J. Karjalainen,Type B
BUMP OF CHICKEN,Type B
The Cars,Type B
Ini Kamoze,Type B
Mad Professor & Lee Perry,Type B
LaVern Baker,Type B
Tori Amos,Type B
Indigo Girls,Type B
Ghosts and Vodka,Type B
The Kills,Type B
Count Basie,Type B
T. Rex,Type B
Irene Grandi,Type B
Freedom Call,Type B
Muzio Clementi,Type B
Lee Dorsey,Type B
Bob Crosby,Type B
Dan Tyminski,Type B
Os Originais Do Samba,Type B
The Babystars,Type B
Antonio Vivaldi,Type B
Carl Davis,Type B
Little Dragon,Type B
Hudson Taylor,Type B
The Districts,Type B
Basement Jaxx,Type B
Kamasi Washington,Type B
Algernon Cadwallader,Type B
Frank Sinatra,Type B
Silver Jews,Type B
Dom,Type B
Dr. Dog,Type B
Pavement,Type B
Stereolab,Type B
Ou Est Le Swimming Pool,Type B
Emmylou Harris,Type B
Dizzy Gillespie,Type B
Youngblood Hawke,Type B
Jason Collett,Type B
Shwayze,Type B
Switches,Type B
AUGUSTINES,Type B
Novastar,Type B
Laleh,Type B
The Adicts,Type B
Tina Turner,Type B
High School Musical 2 Cast,Type B
Björk,Type B
Bellowhead,Type B
Rasputina,Type B
Stevie Nicks,Type B
Paul McCartney,Type B
Snowden,Type B
Nautilus Pompilius,Type B
The Cave Singers,Type B
Rickie Lee Jones,Type B
Paweł Błaszczak,Type B
Generationals,Type B
You Blew It!,Type B
The Bangles,Type B
Keane,Type B
Seu Jorge,Type B
Scooter,Type B
La casa azul,Type B
The Calling,Type B
Garbage,Type B
The Swingers,Type B
Juice Leskinen,Type B
The World/Inferno Friendship Society,Type B
Lou Reed,Type B
Andy Korg,Type B
Tarwater,Type B
Crash Test Dummies,Type B
Cats,Type B
Joni Mitchell,Type B
Florian Meindl,Type B
Underworld,Type B
Michael Lloyd & Le Disc,Type B
Lena Horne,Type B
Jacques Brel,Type B
The Hollies,Type B
Lynyrd Skynyrd,Type B
光田康典,Type B
Coleman Hawkins,Type B
Do As Infinity,Type B
The Band,Type B
Don Carlos,Type B
Mark Knopfler,Type B
André Hazes,Type B
Sting,Type B
Bebel Gilberto,Type B
Peter Hammill,Type B
An Pierlé,Type B
Edguy,Type B
Woody Guthrie,Type B
Graham Coxon,Type B
Ry Cooder,Type B
Frank Zappa,Type B
Johann Sebastian Bach,Type B
Raphael,Type B
Lisa Mitchell,Type B
Toninho Horta,Type B
Vaughn Monroe,Type B
Koenjihyakkei,Type B
Xavier Rudd,Type B
Math and Physics Club,Type B
Colour Coding,Type B
The Vibrators,Type B
Clare Fader,Type B
Krypteria,Type B
Carlos Montoya,Type B
Bel Canto,Type B
Powers,Type B
Tesco Value,Type B
Bee Gees,Type B
Air,Type B
The Indians,Type B
Canned Heat,Type B
Them,Type B
Gabriel Rios,Type B
Monkey Swallows the Universe,Type B
Alan Menken,Type B
Hugo Strasser,Type B
The Undergrounds,Type B
Marissa Jaret Winokur,Type B
The Presidents of the United States of America,Type B
Fats Waller,Type B
Jarcha,Type B
Shaham & Brandon,Type B
Alton Ellis,Type B
Banda Eva,Type B
The Piranhas,Type B
Maria Creuza,Type B
Maria Gasolina,Type B
Kalle Moraeus,Type B
Status Quo,Type B
The View,Type B
melody.,Type B
Friday Hill,Type B
Hot Chocolate,Type B
Arsenal,Type B
加藤ミリヤ,Type B
Wallis Bird,Type B
Boudewijn de Groot,Type B
Alexandre Desplat,Type B
Fanfare Ciocărlia,Type B
James Taylor,Type B
Cocco,Type B
מוניקה סקס,Type B
Lou Rawls,Type B
Twilite,Type B
Bob Weir,Type B
m-flo loves STAR TREK,Type B
RIKKU (Marika Matsumoto),Type B
Любэ,Type B
Lesley Gore,Type B
New Orleans Rhythm Kings,Type B
Dick Powell,Type B
"She's Spanish, I'm American",Type B
The Dollyrots,Type B
Rachel Stevens,Type B
Elmer Food Beat,Type B
Fatboy Slim,Type B
6 Day Riot,Type B
Surferosa,Type B
Григорий Лепс,Type B
Black 47,Type B
The Golden Palominos,Type B
Snuff,Type B
A.C.T,Type B
Atoi,Type B
Beth Carvalho,Type B
Marbles,Type B
Glenn Miller,Type B
